content_hash,reviewer_verdict,reviewer_rationale,reviewed_at,model_id
f2d7ff54b952d3ca669012f99407a746fbbf3cd674716d72a9e21b81635996fc,no,"Centered title is 'AMENDED AND RESTATED LIMITED LIABILITY COMPANY AGREEMENT of BELLRING BRANDS, LLC'; an LLC agreement, not a TRA.",2026-05-25T07:00:00Z,claude-opus-4-7
0ce9c66bea2f478fb547021a8d6ac9635deb0067bd266b2846604e9cc64ab059,no,"Centered title is 'FIRST AMENDMENT TO LOAN DOCUMENTS AND CONSENT OF GUARANTORS'; a loan agreement amendment, not a TRA.",2026-05-25T07:00:00Z,claude-opus-4-7
d41283d15faef5c14448f5ed3dab04065c229921aae8b49af6279799f265c4a7,no,"Centered title is 'SECOND AMENDED AND RESTATED LIMITED LIABILITY COMPANY AGREEMENT of FOUNDATION TECHNOLOGY WORLDWIDE LLC'; an LLC agreement, not a TRA.",2026-05-25T07:00:00Z,claude-opus-4-7
7d53336485c7668ec372ee2075a54643d6d8182931cf1ff27061b7fa9e1deb98,no,"Centered title is 'TAX MATTERS AGREEMENT' between McKesson, PF2 SpinCo, and Change Healthcare entities; a spin-off tax-sharing agreement, not a TRA.",2026-05-25T07:00:00Z,claude-opus-4-7
202439e97a0fc34a037a875ddc70a76147ae0620cd6108c61a4ea93c1e72639d,no,"Centered title is 'SIXTH AMENDED AND RESTATED LIMITED LIABILITY COMPANY AGREEMENT' for Shift4 Payments, LLC; an LLC agreement, not a TRA.",2026-05-25T07:00:00Z,claude-opus-4-7
78024f1dd391ad642651d449c318afbf366cd6e06a63af7c7b293a2022da6b54,no,"Centered title is 'EXCHANGE AGREEMENT' (StepStone Group Inc.); the Tax Receivable Agreement appears only as a cross-referenced defined term among the IPO suite of agreements.",2026-05-25T07:00:00Z,claude-opus-4-7
60c6365c117464def59d1de89c47e0f635a3959d353a259674c7a502c3ad635c,no,"Centered title is 'Tenth Amended and Restated Limited Partnership Agreement of StepStone Group LP'; a partnership agreement, not a TRA.",2026-05-25T07:00:00Z,claude-opus-4-7
dd5a53a5a38b71cf5a9ad0d5cf4b43aac6fbbe67b6cc5a9d0db2204b6fc0d376,no,"Centered title is 'DRIVEN BRANDS HOLDINGS INC. RESTRICTED STOCK AWARD AGREEMENT'; an equity grant document with no TRA content.",2026-05-25T07:00:00Z,claude-opus-4-7
b76341ea4a45bf36e8541817499aaf221aef63454578a41c1c7f21899b8328ee,no,"Centered title is 'SECOND AMENDED AND RESTATED LIMITED LIABILITY COMPANY AGREEMENT OF NERDY LLC'; an LLC agreement, not a TRA.",2026-05-25T07:00:00Z,claude-opus-4-7
7021d50e7410c4e4955900375d8397bb28edf9ce2258044fe2b5f5c3e1d4e1a0,no,"Centered title is 'AMENDMENT NO. 5 TO BUSINESS COMBINATION AGREEMENT' that attaches a form of TRA as Exhibit A; the document itself is a business combination amendment, not a TRA.",2026-05-25T07:00:00Z,claude-opus-4-7
02d79b11a0d5c1c3a27b7a9efd7e72d6ef74df06d9e0613414503793530dcd34,no,"Centered title is 'AMENDED AND RESTATED AGREEMENT OF LIMITED PARTNERSHIP OF BLUE OWL CAPITAL HOLDINGS LP'; a limited partnership agreement, not a TRA.",2026-05-25T07:00:00Z,claude-opus-4-7
7dfce2ef6c8445969b62ebf4ca61c3dd49c4d99d9d8ec719f28b3001829943a4,no,"Centered title is 'SECOND AMENDED AND RESTATED AGREEMENT OF LIMITED PARTNERSHIP OF BLUE OWL CAPITAL CARRY LP'; a limited partnership agreement, not a TRA.",2026-05-25T07:00:00Z,claude-opus-4-7
